time,open,high,low,close,tick_volume
2025.10.22 04:00,4128.61,4133.411,4107.57,4128.173,20413
2025.10.22 03:00,4114.985,4143.136,4107.312,4128.674,25156
2025.10.22 02:00,4087.217,4117.831,4087.217,4114.959,27301
2025.10.22 01:00,4075.165,4121.152,4064.368,4087.171,67585
2025.10.22 00:00,4093.182,4094.052,4004.185,4075.132,112547
2025.10.21 23:00,4123.277,4127.882,4090.127,4093.156,19209
2025.10.21 22:00,4132.096,4132.322,4113.804,4123.235,15184
2025.10.21 20:00,4108.802,4130.976,4105.999,4125.337,15659
2025.10.21 19:00,4114.884,4122.214,4100.376,4108.77,29424
2025.10.21 18:00,4111.156,4125.82,4106.379,4114.82,26523
2025.10.21 17:00,4113.579,4120.237,4093.562,4111.23,49288
2025.10.21 16:00,4138.648,4143.876,4101.424,4113.475,52175
2025.10.21 15:00,4138.939,4150.596,4119.988,4138.535,70048
2025.10.21 14:00,4174.028,4188.508,4080.817,4138.912,124771
2025.10.21 13:00,4211.104,4225.438,4167.546,4174.071,93301
2025.10.21 12:00,4253.353,4257.511,4205.763,4211.051,61270
2025.10.21 11:00,4253.74,4272.444,4245.513,4253.325,25205
2025.10.21 10:00,4265.098,4266.5,4249.266,4253.766,27091
2025.10.21 09:00,4273.933,4278.089,4254.6,4265.136,32221
2025.10.21 08:00,4298.363,4301.779,4244.728,4273.882,67259
2025.10.21 07:00,4343.227,4343.227,4293.394,4298.449,42282
2025.10.21 06:00,4323.285,4344.259,4317.144,4343.203,21917
2025.10.21 05:00,4341.946,4344.297,4317.151,4323.315,25604
2025.10.21 04:00,4346.538,4347.068,4337.141,4341.941,10499
2025.10.21 03:00,4338.872,4350.799,4337.851,4346.584,13834
2025.10.21 02:00,4350.899,4355.398,4335.163,4338.905,26853
2025.10.21 01:00,4368.79,4372.296,4332.872,4350.833,36114
2025.10.21 00:00,4360.442,4371.14,4356.136,4368.835,20175
2025.10.20 23:00,4367.49,4371.685,4356.602,4360.492,12603
2025.10.20 22:00,4364.452,4375.487,4357.543,4367.537,17867
2025.10.20 20:00,4378.162,4380.115,4346.475,4356.042,23738
2025.10.20 19:00,4359.491,4381.569,4359.202,4378.211,17734
2025.10.20 18:00,4347.6,4364.622,4344.535,4359.427,17789
2025.10.20 17:00,4347.869,4351.148,4337.34,4347.503,19906
2025.10.20 16:00,4349.18,4350.84,4342.655,4347.872,19832
2025.10.20 15:00,4332.25,4355.752,4332.25,4349.215,30806
2025.10.20 14:00,4300.862,4334.751,4292.608,4332.283,42924
2025.10.20 13:00,4323.638,4325.27,4299.499,4300.904,54238
2025.10.20 12:00,4279.313,4327.16,4272.727,4323.592,42920
